COUNTY,VOTES
ADAMS COUNTY,10130
ASHLAND COUNTY,8032
BARRON COUNTY,22671
BAYFIELD COUNTY,9612
BROWN COUNTY,129011
BUFFALO COUNTY,6981
BURNETT COUNTY,8738
CALUMET COUNTY,26595
CHIPPEWA COUNTY,31568
CLARK COUNTY,13673
COLUMBIA COUNTY,29698
CRAWFORD COUNTY,7728
DANE COUNTY,309354
DODGE COUNTY,43078
DOOR COUNTY,17592
DOUGLAS COUNTY,22536
DUNN COUNTY,22106
EAU CLAIRE COUNTY,55025
FLORENCE COUNTY,2656
FOND DU LAC COUNTY,51796
FOREST COUNTY,4545
GRANT COUNTY,24368
GREEN COUNTY,18985
GREEN LAKE COUNTY,9416
IOWA COUNTY,12275
IRON COUNTY,3513
JACKSON COUNTY,9267
JEFFERSON COUNTY,43109
JUNEAU COUNTY,11735
KENOSHA COUNTY,76304
KEWAUNEE COUNTY,10767
LA CROSSE COUNTY,63674
LAFAYETTE COUNTY,7662
LANGLADE COUNTY,10186
LINCOLN COUNTY,14712
MANITOWOC COUNTY,40786
MARATHON COUNTY,69518
MARINETTE COUNTY,20343
MARQUETTE COUNTY,7891
MENOMINEE COUNTY,1308
MILWAUKEE COUNTY,441053
MONROE COUNTY,19699
OCONTO COUNTY,20206
ONEIDA COUNTY,21531
OUTAGAMIE COUNTY,93933
OZAUKEE COUNTY,54560
PEPIN COUNTY,3735
PIERCE COUNTY,21376
POLK COUNTY,22745
PORTAGE COUNTY,38589
PRICE COUNTY,7568
RACINE COUNTY,94302
RICHLAND COUNTY,8069
ROCK COUNTY,76074
RUSK COUNTY,7088
SAUK COUNTY,31357
SAWYER COUNTY,9137
SHAWANO COUNTY,19810
SHEBOYGAN COUNTY,59766
ST. CROIX COUNTY,47508
TAYLOR COUNTY,9471
TREMPEALEAU COUNTY,13687
VERNON COUNTY,14275
VILAS COUNTY,13611
WALWORTH COUNTY,51391
WASHBURN COUNTY,9193
WASHINGTON COUNTY,76757
WAUKESHA COUNTY,237593
WAUPACA COUNTY,26095
WAUSHARA COUNTY,12074
WINNEBAGO COUNTY,87135
WOOD COUNTY,37818
