COUNTY,REGISTERED_VOTER
ADAMS COUNTY,12476
ASHLAND COUNTY,10120
BARRON COUNTY,27081
BAYFIELD COUNTY,11370
BROWN COUNTY,152605
BUFFALO COUNTY,8347
BURNETT COUNTY,10283
CALUMET COUNTY,30699
CHIPPEWA COUNTY,36651
CLARK COUNTY,16173
COLUMBIA COUNTY,35495
CRAWFORD COUNTY,9682
DANE COUNTY,385063
DODGE COUNTY,51594
DOOR COUNTY,20527
DOUGLAS COUNTY,27644
DUNN COUNTY,26779
EAU CLAIRE COUNTY,66509
FLORENCE COUNTY,3129
FOND DU LAC COUNTY,60664
FOREST COUNTY,5786
GRANT COUNTY,29875
GREEN COUNTY,22117
GREEN LAKE COUNTY,11142
IOWA COUNTY,14650
IRON COUNTY,4411
JACKSON COUNTY,11554
JEFFERSON COUNTY,52083
JUNEAU COUNTY,14127
KENOSHA COUNTY,95559
KEWAUNEE COUNTY,12648
LA CROSSE COUNTY,79500
LAFAYETTE COUNTY,9367
LANGLADE COUNTY,12221
LINCOLN COUNTY,17741
MANITOWOC COUNTY,48721
MARATHON COUNTY,82281
MARINETTE COUNTY,25883
MARQUETTE COUNTY,9256
MENOMINEE COUNTY,1956
MILWAUKEE COUNTY,566816
MONROE COUNTY,23268
OCONTO COUNTY,23732
ONEIDA COUNTY,25326
OUTAGAMIE COUNTY,111477
OZAUKEE COUNTY,64602
PEPIN COUNTY,4435
PIERCE COUNTY,25175
POLK COUNTY,26623
PORTAGE COUNTY,47530
PRICE COUNTY,9287
RACINE COUNTY,116894
RICHLAND COUNTY,10375
ROCK COUNTY,93821
RUSK COUNTY,8218
ST. CROIX COUNTY,56905
SAUK COUNTY,37945
SAWYER COUNTY,11298
SHAWANO COUNTY,24135
SHEBOYGAN COUNTY,71453
TAYLOR COUNTY,11663
TREMPEALEAU COUNTY,16689
VERNON COUNTY,17080
VILAS COUNTY,16124
WALWORTH COUNTY,62241
WASHBURN COUNTY,10854
WASHINGTON COUNTY,89277
WAUKESHA COUNTY,278896
WAUPACA COUNTY,30952
WAUSHARA COUNTY,14293
WINNEBAGO COUNTY,104771
WOOD COUNTY,44072
